ID,Fallow_yr1,Fallow_yr2,Fallow_yr3,wealth,hheducation,adults,ethnicity,hhgender
EI153,No,No,No,0.915,primary2,2,Other,Male
EI149,No,No,No,0.795,primary2,2,Other,Male
EI011,Yes,No,No,1.24,none,2,Other,Male
EI022,Yes,No,Yes,3.8,secondary,2,Other,Male
EI021,Yes,No,No,4.31,secondary,2,Other,Male
EI020,No,No,No,1.19,primary2,6+,Other,Male
EI019,Yes,No,No,2.43,primary2,6+,Other,Male
EI018,Yes,Yes,Yes,0.56,primary1,3,Other,Male
EI017,Yes,No,Yes,4.65,secondary,6+,Other,Male
EI016,Yes,No,No,3.07,primary2,4,Other,Male
EI015,No,Yes,Yes,3.75,primary1,3,Other,Female
EI014,Yes,No,No,2.75,primary1,2,Other,Male
EI023,Yes,No,No,0.24,none,1,Other,Male
EI012,Yes,No,Yes,3.89,secondary,2,Other,Male
EI009,Yes,No,No,2.07,primary2,1,Other,Female
EI010,Yes,No,No,3.19,primary2,3,Other,Female
EI008,Yes,No,Yes,4.43,primary2,2,Other,Male
EI006,Yes,No,No,0.79,none,2,Other,Female
EI005,Yes,No,No,0.36,none,4,Other,Female
EI004,Yes,No,Yes,3.37,primary2,3,Other,Male
EI003,Yes,No,No,0.28,primary2,3,Other,Male
EI002,Yes,Yes,Yes,1.88,primary2,4,Other,Male
EI001,Yes,No,No,3.89,primary1,6+,Other,Male
EI049,Yes,No,No,1.15,none,3,Other,Male
EI074,No,No,No,0.83,primary2,1,Other,Male
EI013,No,No,No,0.52,primary2,5,Other,Male
EI041,Yes,No,No,0.2,primary1,2,Other,Male
EI047,Yes,No,Yes,0.56,primary1,3,Other,Male
EI046,Yes,No,Yes,0.44,primary1,3,Other,Male
EI007,Yes,No,No,0.64,primary2,4,Other,Male
EI024,Yes,No,No,0.2,primary1,3,Other,Male
EI045,Yes,No,No,2.88,primary2,3,Other,Male
EI044,Yes,No,No,5.25,secondary,6+,Other,Male
EI042,Yes,No,No,2.797,primary2,3,Other,Male
EI040,Yes,No,No,3.95,secondary,2,Other,Male
EI039,No,Yes,Yes,0.75,primary1,,Other,Male
EI038,No,Yes,No,0.56,primary1,4,Other,Male
EI037,Yes,No,No,0.52,primary2,2,Other,Male
EI031,Yes,Yes,Yes,4.16,secondary,5,Other,Male
EI043,No,No,No,1.43,primary2,2,Other,Male
EI036,No,No,No,2.555,primary1,2,Other,Male
EI027,Yes,No,No,0.24,none,1,Other,Female
EI029,Yes,No,No,1.4,secondary,5,Other,Male
EI028,No,Yes,No,2.88,primary2,6+,Other,Male
EI030,Yes,No,No,4.37,primary2,3,Other,Male
EI032,Yes,No,No,0.28,primary2,3,Other,Male
EI034,Yes,No,No,0.56,primary1,,Other,Male
EI035,Yes,No,No,2.6,none,4,Other,Female
ES027,Yes,No,No,4.11,primary1,6+,Other,Male
ES016,Yes,No,No,1.475,primary1,1,Other,Male
ES017,Yes,Yes,No,2.19,primary2,5,Other,Female
ES018,Yes,No,No,4.85,secondary,2,Other,Male
ES020,Yes,Yes,Yes,4.19,primary2,4,Other,Female
ES022,No,No,No,4.41,primary1,5,Other,Female
ES023,Yes,No,No,4.19,primary2,2,Other,Female
ES024,Yes,Yes,Yes,1.035,secondary,2,Other,Male
ES035,Yes,No,No,3.99,primary1,5,Other,Male
ES026,No,No,No,2.52,primary2,3,Other,Male
ES028,No,No,No,3.85,none,3,Other,Female
ES015,Yes,Yes,Yes,4.19,primary2,2,Other,Female
ES019,Yes,Yes,Yes,4.29,primary1,4,Other,Male
ES025,Yes,Yes,Yes,1.009,other,2,Other,Male
ES002,No,No,No,2.19,primary2,5,Other,Female
ES013,Yes,No,No,1.75,primary1,3,Other,Female
ES012,Yes,Yes,Yes,3.83,primary2,5,Other,Male
ES011,Yes,Yes,Yes,2.31,secondary,2,Other,Female
ES014,No,Yes,Yes,4.49,secondary,4,Other,Male
ES010,No,No,No,3.895,primary1,4,Other,Male
ES021,Yes,No,No,0,none,3,Other,Male
ES009,No,No,No,1.83,primary2,4,Other,Male
ES008,No,Yes,Yes,4.19,secondary,3,Other,Female
ES007,Yes,No,Yes,4.18,primary2,,Other,Female
ES006,Yes,Yes,Yes,4.11,primary1,5,Other,Male
ES005,Yes,Yes,Yes,2.07,primary2,2,Other,Female
ES004,Yes,Yes,Yes,4.11,primary1,2,Other,Male
ES003,No,No,No,4.25,secondary,2,Other,Female
LU064,No,Yes,No,1.43,primary2,1,Luo,Male
LU066,Yes,Yes,Yes,0.58,primary2,2,Luo,Male
LU067,Yes,Yes,No,0.28,primary2,2,Luo,Male
LU061,No,No,Yes,0,none,1,Luo,Female
LU024,Yes,Yes,Yes,0.94,primary2,3,Luo,Male
LU073,No,No,Yes,0.36,none,2,Luo,Male
LU072,No,Yes,Yes,0.58,primary2,2,Luo,Male
LU071,No,No,Yes,0.58,primary2,2,Luo,Male
LU069,No,Yes,Yes,0.855,primary2,1,Luo,Female
LU068,No,Yes,Yes,1.37,primary2,2,Luo,Male
LU074,No,No,No,0.855,primary2,2,Luo,Male
LU017,Yes,Yes,Yes,1.22,primary2,2,Luo,Male
LU031,Yes,No,Yes,0.675,secondary,4,Luo,Male
LU030,No,Yes,Yes,0.88,primary2,2,Luo,Female
LU029,No,Yes,Yes,2.275,none,1,Luo,Female
LU028,No,No,No,0.36,none,2,Luo,Male
LU027,No,Yes,Yes,3.25,secondary,2,Luo,Male
LU025,No,Yes,No,2.975,secondary,2,Luo,Male
LU023,Yes,Yes,Yes,0,none,1,Luo,Female
LU022,Yes,Yes,No,0.76,secondary,2,Luo,Male
LU060,No,Yes,Yes,0.83,primary2,2,Luo,Male
LU020,Yes,Yes,Yes,0.3,none,1,Luo,Female
LU032,Yes,Yes,Yes,0.85,none,1,Luo,Female
LU018,No,Yes,No,0.94,primary2,2,Luo,Male
LU016,Yes,No,Yes,1.095,primary2,2,Luo,Male
LU013,Yes,Yes,Yes,0.2,primary1,1,Luo,Female
LU012,Yes,No,Yes,2.85,none,3,Luo,Male
LU005,Yes,Yes,Yes,1.45,secondary,2,Luo,Male
LU004,Yes,Yes,Yes,2.25,secondary,2,Luo,Male
LU003,Yes,Yes,Yes,0.55,none,1,Luo,Female
LU001,Yes,Yes,Yes,1.58,primary2,1,Luo,Female
LU026,No,Yes,Yes,0.28,primary2,2,Luo,Male
LU057,Yes,Yes,Yes,0,none,1,Luo,Female
LU019,Yes,Yes,Yes,1,secondary,3,Luo,Male
LU058,Yes,Yes,No,0.55,none,1,Luo,Female
LU033,No,Yes,Yes,1.13,primary2,2,Luo,Male
LU056,Yes,No,No,1.43,primary2,2,Luo,Male
LU055,No,Yes,Yes,3.37,primary2,2,Luo,Male
LU052,No,Yes,Yes,0.515,none,2,Luo,Male
LU051,No,No,No,0.275,none,1,Luo,Female
LU050,No,Yes,No,2.83,primary2,2,Luo,Male
LU049,Yes,Yes,No,0.7,secondary,2,Luo,Male
LU048,No,No,No,0,none,1,Luo,Female
LU047,Yes,Yes,Yes,0.4,secondary,3,Luo,Male
LU046,No,No,No,3.25,secondary,1,Luo,Female
LU045,No,Yes,Yes,1,none,2,Luo,Female
LU035,No,No,Yes,2.7,secondary,2,Luo,Male
LU059,No,No,No,3.85,secondary,2,Luo,Male
LU044,No,No,No,0.95,secondary,2,Luo,Male
LU034,No,Yes,Yes,3.13,primary2,2,Luo,Male
LU036,No,Yes,Yes,0.8,primary1,2,Luo,Male
LU037,No,Yes,No,0,none,1,Luo,Male
LU038,No,Yes,No,3.35,primary1,2,Luo,Female
LU039,No,No,No,4.25,secondary,4,Luo,Male
LU040,No,No,No,0.64,none,2,Luo,Female
LU041,No,Yes,Yes,0.975,secondary,2,Luo,Male
LU043,No,Yes,Yes,2.6,none,1,Luo,Female
LU042,No,Yes,Yes,2.7,secondary,2,Luo,Male
MA039,No,No,Yes,4.25,secondary,2,Luo,Male
MA046,No,No,No,0,none,1,Luo,Female
MA045,No,No,No,0.28,primary2,2,Luo,Male
MA044,No,No,No,2.43,primary2,3,Luo,Male
MA043,No,No,No,0.9,none,3,Luo,Female
MA038,No,No,No,3.95,secondary,1,Luo,Male
MA040,No,No,No,3.935,none,1,Luo,Female
MA037,No,No,No,1.175,none,4,Luo,Male
MA047,No,No,No,3.43,primary2,2,Luo,Male
MA058,No,No,No,2.13,primary2,2,Luo,Male
MA036,No,No,No,0.83,primary2,1,Luo,Female
MA042,No,No,No,0.49329,primary2,2,Luo,Male
MA048,No,Yes,Yes,0.555,primary2,2,Luo,Male
MA050,No,Yes,Yes,0.855,primary2,,Luo,Male
MA051,No,No,Yes,0.28,primary2,2,Luo,Male
MA052,No,No,No,3.455,primary2,,Luo,Male
MA054,No,No,No,2.18,primary2,2,Luo,Male
MA057,No,No,No,1.855,primary2,3,Luo,Male
MA059,No,No,No,3.07,primary2,1,Luo,Female
MA060,No,No,No,0.795,primary2,1,Luo,Male
MA061,No,No,Yes,0.275,none,3,Luo,Male
MA035,No,Yes,No,0.4664,other,1,Luo,Female
MA053,No,No,No,1.855,primary2,2,Luo,Male
MA056,No,No,No,0.855,primary2,2,Luo,Male
MA014,No,Yes,Yes,1.555,primary2,1,Luo,Female
MA055,No,No,No,1.49,primary2,2,Luo,Male
MA034,No,No,No,0.915,primary2,2,Luo,Male
MA003,Yes,Yes,Yes,1.43,primary2,3,Luo,Male
MA004,No,No,No,2.2,primary1,5,Luo,Male
MA007,Yes,No,Yes,2.25,none,2,Luo,Male
MA009,Yes,No,Yes,0.3,none,6+,Luo,Female
MA012,No,No,No,0.83,primary2,1,Luo,Male
MA015,No,No,No,1.37,primary2,2,Luo,Male
MA017,No,No,Yes,2.215,primary2,1,Luo,Female
MA018,No,No,No,0.95,secondary,2,Luo,Male
MA033,No,No,Yes,1,none,1,Luo,Female
MA032,No,No,No,2.19,secondary,3,Luo,Male
MA019,No,Yes,No,0.855,primary2,3,Luo,Male
MA029,No,No,Yes,0.83,primary2,2,Luo,Male
MA028,No,No,No,0.24,none,1,Luo,Female
MA027,No,No,Yes,0.83,primary2,2,Luo,Male
MA026,No,No,No,0.83,primary2,1,Luo,Male
MA025,No,Yes,Yes,1.095,primary2,2,Luo,Male
MA024,No,No,No,0,none,1,Luo,Female
MA022,No,No,No,0.55,none,1,Luo,Female
MA021,No,Yes,Yes,1.555,primary2,1,Luo,Female
MA020,No,Yes,Yes,0.915,primary2,2,Luo,Male
NY082,No,No,No,0,none,1,Luo,Female
NY088,No,No,No,3,none,6+,Luo,Male
NY081,No,No,No,0.555,primary2,2,Luo,Female
NY098,No,No,No,3,none,2,Luo,Male
NY084,No,No,No,0.52,primary2,2,Luo,Female
NY080,No,No,No,2.275,none,4,Luo,Male
NY085,No,No,No,1.1,primary1,3,Luo,Male
NY078,No,No,No,3.275,none,2,Luo,Female
NY087,No,No,No,0.6,none,5,Luo,Male
NY079,No,No,No,4.43,primary2,5,Luo,Female
NY083,No,No,Yes,2.79,none,2,Luo,Female
NY090,No,No,No,0.2,primary1,3,Luo,Male
NY091,No,No,No,2.675,secondary,4,Luo,Male
NY092,No,No,No,3.24,none,5,Luo,Male
NY093,No,No,No,0.28,primary2,2,Luo,Male
NY095,No,No,No,2.8,primary1,3,Luo,Male
NY099,No,No,No,0.52,primary2,4,Luo,Male
NY100,No,No,No,4.055,primary2,4,Luo,Male
NY101,No,No,No,3.07,primary2,2,Luo,Male
NY003,Yes,Yes,Yes,1.19,primary2,6+,Luo,Female
NY077,No,No,No,1,none,2,Luo,Male
NY061,No,No,No,2.88,primary2,2,Luo,Female
NY102,No,Yes,No,0,none,1,Luo,Female
NY004,Yes,Yes,Yes,2.7,secondary,2,Luo,Male
NY094,No,No,No,4.75,secondary,2,Luo,Male
NY065,No,Yes,Yes,3.07,primary2,6+,Luo,Male
NY037,Yes,Yes,No,0.7,secondary,1,Luo,Male
NY103,No,No,No,3.275,none,2,Luo,Male
NY053,No,Yes,No,3.795,primary2,2,Luo,Male
NY054,No,Yes,Yes,3.425,secondary,2,Luo,Male
NY055,Yes,No,No,3.83,primary2,2,Luo,Male
NY056,Yes,Yes,No,1.75,primary1,2,Luo,Female
NY057,Yes,No,No,0.515,none,5,Luo,Male
NY058,No,Yes,Yes,0.28,primary2,2,Luo,Male
NY059,No,No,No,3.46,primary1,3,Luo,Male
NY060,Yes,Yes,No,2,none,1,Luo,Female
NY063,Yes,No,Yes,0.75,primary1,6+,Luo,Male
NY064,Yes,Yes,Yes,0.85,none,3,Luo,Male
NY076,No,Yes,Yes,4.61,secondary,5,Luo,Male
NY066,No,No,Yes,0.55,none,3,Luo,Male
NY067,No,No,No,0.83,primary2,2,Luo,Male
NY068,Yes,Yes,No,2.55,none,6+,Luo,Male
NY069,Yes,Yes,Yes,0.555,primary2,2,Luo,Male
NY070,No,No,No,2.58,primary2,2,Luo,Male
NY071,No,No,No,1.36,none,1,Luo,Female
NY072,No,No,No,1.24,none,1,Luo,Female
NY073,No,No,Yes,0.675,secondary,6+,Luo,Male
NY074,No,No,No,1.93,primary2,2,Luo,Female
NY075,No,No,No,3.75,primary1,3,Luo,Male
NY062,Yes,Yes,Yes,0.2,primary1,6+,Luo,Male
NY044,Yes,Yes,No,0.28,primary2,6+,Luo,Male
NY035,Yes,Yes,No,0.28,primary2,2,Luo,Male
NY030,Yes,Yes,Yes,2.36,none,2,Luo,Male
NY031,No,No,No,3.83,primary2,6+,Luo,Male
NY032,No,Yes,No,0.515,none,4,Luo,Male
NY033,Yes,No,Yes,4.15,none,6+,Luo,Male
NY036,Yes,Yes,No,0.58,primary2,1,Luo,Male
NY038,Yes,Yes,Yes,2.9,none,5,Luo,Female
NY039,No,No,No,2,none,3,Luo,Female
NY040,No,No,No,0.52,primary2,2,Luo,Male
NY041,No,Yes,No,3.35,primary1,2,Luo,Female
NY028,No,No,No,0.64,primary2,2,Luo,Male
NY043,Yes,Yes,Yes,2.7,secondary,3,Luo,Female
NY027,Yes,Yes,Yes,0.2,primary1,2,Luo,Male
NY045,No,Yes,No,2.28,primary2,3,Luo,Male
NY046,Yes,No,No,1.75,primary1,2,Luo,Male
NY010,No,No,No,1.13,primary2,4,Luo,Female
NY009,Yes,Yes,No,0.2,primary1,2,Luo,Male
NY008,No,Yes,Yes,3.13,primary2,2,Luo,Male
NY007,Yes,Yes,No,0,none,5,Luo,Male
NY006,Yes,No,No,0.2,primary1,4,Luo,Male
NY005,No,Yes,No,2.85,none,2,Luo,Female
NY190,No,No,No,0.58,primary2,2,Luo,Male
NY052,No,No,No,0.52,primary2,2,Luo,Male
NY042,Yes,Yes,No,0.83,primary2,2,Luo,Male
NY015,Yes,Yes,No,0.83,primary2,5,Luo,Male
NY106,No,No,No,3.99,primary2,4,Luo,Male
NY107,No,Yes,Yes,1.52,primary2,2,Luo,Male
NY108,No,No,Yes,3.325,secondary,2,Luo,Male
NY109,No,No,No,0.2,primary1,2,Luo,Male
NY110,No,No,No,2.56,primary1,3,Luo,Male
NY111,No,No,No,3.56,primary1,1,Luo,Female
NY113,No,No,No,2.28,primary2,1,Luo,Female
NY116,No,No,No,0,none,1,Luo,Female
NY117,No,No,No,0.4,secondary,2,Luo,Male
NY118,No,No,No,1.24,none,3,Luo,Female
NY029,Yes,Yes,Yes,0,none,2,Luo,Male
NY014,Yes,Yes,No,0,none,6+,Luo,Female
NY104,No,No,No,2.83,primary2,4,Luo,Male
NY017,No,Yes,No,0.56,primary1,6+,Luo,Male
NY018,Yes,No,Yes,0.75,primary1,6+,Luo,Male
NY019,No,No,No,1.25,secondary,4,Luo,Male
NY020,No,Yes,Yes,4.095,primary2,6+,Luo,Female
NY021,No,Yes,Yes,4.15,none,1,Luo,Male
NY022,Yes,Yes,No,0.28,primary2,2,Luo,Male
NY023,No,Yes,Yes,2.675,secondary,3,Luo,Male
NY024,No,No,No,0.875,none,5,Luo,Male
NY025,No,No,No,0,none,3,Luo,Female
NY026,No,No,No,1.07,primary2,2,Luo,Male
NY013,No,Yes,No,0.2,primary1,6+,Luo,Female
NY157,No,No,No,2.95,secondary,2,Luo,Male
NY181,No,Yes,Yes,0.64,primary2,4,Luo,Male
NY179,No,No,No,2.2,primary1,2,Luo,Male
NY178,No,No,No,4.63,primary2,3,Luo,Male
NY175,No,No,No,2.7,secondary,2,Luo,Male
NY170,No,Yes,No,0.91,none,4,Luo,Male
NY169,No,No,No,3.52,primary2,2,Luo,Male
NY168,No,No,No,2.66,none,2,Luo,Female
NY165,No,Yes,No,3.555,primary2,3,Luo,Male
NY141,No,No,No,3.635,none,3,Luo,Male
NY158,No,No,No,2.315,secondary,4,Luo,Male
NY185,No,No,No,3.455,primary2,2,Luo,Male
NY155,No,No,No,1.4,secondary,2,Luo,Male
NY154,No,No,No,1.4,secondary,3,Luo,Male
NY153,No,No,No,3.4,secondary,2,Luo,Male
NY152,No,No,No,0.4,secondary,2,Luo,Male
NY151,No,No,No,1.36,none,2,Luo,Male
NY148,No,No,No,3.28,primary2,2,Luo,Male
NY172,No,No,No,3.24,none,1,Luo,Female
NY145,No,No,No,1,none,1,Luo,Female
NY164,No,No,No,2.36,none,1,Luo,Female
NY207,No,No,No,1.152515,none,2,Luo,Male
NY204,No,No,No,2.64,primary2,2,Luo,Male
NY203,No,No,No,3.19,primary2,2,Luo,Male
NY202,No,No,No,2.855,primary2,2,Luo,Male
NY201,No,No,No,0.555,primary2,2,Luo,Male
NY200,No,No,No,1.75,primary1,5,Luo,Male
NY199,No,No,No,0.157795,none,2,Luo,Female
NY182,No,No,No,3.74,primary1,5,Luo,Male
NY197,No,No,No,2,none,1,Luo,Female
NY184,No,Yes,No,1.2,primary1,2,Luo,Male
NY195,No,No,No,2.2,primary1,3,Luo,Male
NY194,No,No,No,3.475,primary1,5,Luo,Male
NY193,No,No,No,1.55,none,4,Luo,Male
NY191,No,No,No,3.855,primary2,2,Luo,Male
NY188,No,No,No,0.83,primary2,2,Luo,Male
NY187,No,No,No,0.715,primary1,1,Luo,Male
NY186,No,No,Yes,3,none,6+,Luo,Male
NY147,No,Yes,No,0.28,primary2,1,Luo,Female
NY198,No,No,Yes,0.915,primary2,2,Luo,Male
NY120,No,No,No,3.64,secondary,3,Luo,Female
NY149,No,No,Yes,3.475,primary1,3,Luo,Male
NY139,No,No,No,2.77504,other,4,Luo,Female
NY119,No,No,No,0.2,primary1,3,Luo,Female
NY050,No,No,No,0.44,primary1,2,Luo,Female
NY048,No,No,No,0.55,none,4,Luo,Male
NY001,Yes,Yes,No,1.1917,none,6+,Luo,Male
NY002,No,No,No,0.58,primary2,5,Luo,Male
NY192,No,No,Yes,2.275,none,2,Luo,Female
NY125,No,No,No,1.475,primary1,2,Luo,Male
NY126,No,No,No,2.7,secondary,1,Luo,Male
NY127,No,No,No,3.88,primary2,1,Luo,Female
NY135,No,Yes,No,0.2,primary1,1,Luo,Female
NY129,No,No,No,3.52,primary2,1,Luo,Female
NY130,No,No,No,3.88,primary2,5,Luo,Male
NY131,No,No,No,2.28,primary2,2,Luo,Male
NY132,No,No,No,3.28,primary2,3,Luo,Male
NY133,No,Yes,Yes,1.75,primary1,2,Luo,Male
NY134,No,No,No,4,secondary,2,Luo,Male
NY128,No,No,No,4.44,secondary,5,Luo,Male
NY136,No,No,No,0.28,primary2,3,Luo,Male
NY138,No,No,No,2.88,primary2,5,Luo,Male
SA027,Yes,Yes,No,0.91,none,5,Luo,Male
SA028,Yes,Yes,No,1.58,primary2,2,Luo,Male
SA029,Yes,Yes,Yes,4.25,secondary,2,Luo,Male
SA030,Yes,Yes,Yes,2.74,primary1,2,Luo,Male
SA031,Yes,Yes,Yes,2.11,primary1,6+,Luo,Male
SA032,No,No,Yes,0.55,none,2,Luo,Male
SA006,No,No,No,3.11,primary1,3,Luo,Female
SA005,No,Yes,Yes,2,none,6+,Luo,Female
SA026,Yes,Yes,Yes,1.5,primary1,2,Luo,Male
SA015,Yes,Yes,No,0.58,primary2,4,Luo,Male
SA148,No,No,No,4.29,primary1,1,Luo,Female
SA016,Yes,Yes,Yes,4.85,secondary,2,Luo,Female
SA004,Yes,Yes,No,1.75,primary1,4,Luo,Female
SA010,No,Yes,No,1.56,primary1,4,Luo,Male
SA009,Yes,Yes,Yes,1.82,primary2,3,Luo,Male
SA008,Yes,Yes,No,2.58,primary2,5,Luo,Female
SA007,Yes,Yes,No,1.28,primary2,4,Luo,Male
SA012,Yes,Yes,Yes,1.58,primary2,4,Luo,Male
SA017,Yes,Yes,Yes,2.55,none,3,Luo,Male
SA014,Yes,Yes,No,1.07,primary2,6+,Luo,Male
SA025,Yes,Yes,Yes,3.592,primary2,3,Luo,Male
SA018,Yes,Yes,No,3.55,none,3,Luo,Male
SA020,Yes,No,No,1.58,primary2,6+,Luo,Male
SA021,Yes,Yes,No,0,none,2,Luo,Female
SA022,Yes,Yes,No,3,none,2,Luo,Male
SA023,Yes,Yes,No,0,none,4,Luo,Female
SA024,Yes,No,No,4.73,primary2,6+,Luo,Male
SA033,No,Yes,No,0.55,none,3,Luo,Male
SA056,No,No,No,0.8924,primary2,2,Luo,Female
SA071,No,No,No,2.94,primary2,2,Luo,Male
SA070,No,Yes,No,1.11,primary1,6+,Luo,Male
SA069,No,No,No,0.675,secondary,1,Luo,Male
SA068,No,No,No,0.555,primary2,1,Luo,Male
SA067,Yes,No,No,0.555,primary2,2,Luo,Male
